3 torch.Size([1, 57, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 58, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 58, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 58, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 58, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 59, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 59, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 59, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 59, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 60, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 60, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 60, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 60, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 61, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 61, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 61, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 61, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 62, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 62, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 62, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 62, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 63, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 63, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 63, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 63, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 64, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 64, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 64, 128]) tensor([-0.2448,  0.1281, -0.0276])
